"","Temperature","Density","fit","se.fit"
"218",17.1929824561403,-8,0,0.111513129155301
"219",17.3182957393484,-8,0,0.111271617527545
"220",17.4436090225564,-8,0,0.111042279048103
"221",17.5689223057644,-8,0,0.110826195645626
"222",17.6942355889724,-8,0,0.110624124761453
"223",17.8195488721804,-8,0,0.110436492477167
"224",17.9448621553885,-8,0,0.110263389882599
"225",18.0701754385965,-8,0,0.110104572780419
"226",18.1954887218045,-8,0,0.109959464777629
"227",18.3208020050125,-8,0,0.109827163767211
"228",18.4461152882206,-8,0,0.109706451757215
"229",18.5714285714286,-8,0,0.109595807962111
"230",18.6967418546366,-8,0,0.109493425034481
"231",18.8220551378446,-8,0,0.109397228286008
"232",18.9473684210526,-8,0,0.109304897726897
"233",19.0726817042606,-8,0,0.109213892743359
"234",19.1979949874687,-8,0,0.109121479234485
"235",19.3233082706767,-8,0,0.109024759042883
"236",19.4486215538847,-8,0,0.10892070153782
"237",19.5739348370927,-8,0,0.108806177244869
"238",19.6992481203008,-8,0,0.108677993461549
"239",19.8245614035088,-8,0,0.108532931853404
"240",19.9498746867168,-8,0,0.108367788088476
"241",20.0751879699248,-8,0,0.108179413639414
"242",20.2005012531328,-8,0,0.107964759960626
"243",20.3258145363409,-8,0,0.107720925332244
"244",20.4511278195489,-8,0,0.107445204752345
"245",20.5764411027569,-8,0,0.107135143353135
"246",20.7017543859649,-8,0,0.106788593914321
"247",20.8270676691729,-8,0,0.106403779146159
"248",20.9523809523809,-8,0,0.105979359512922
"249",21.077694235589,-8,0,0.105514507460799
"250",21.203007518797,-8,0,0.105009091746723
"251",21.328320802005,-8,0,0.104466194997498
"252",21.453634085213,-8,0,0.103891979816484
"253",21.5789473684211,-8,0,0.103292849025448
"254",21.7042606516291,-8,0,0.10267518986247
"255",21.8295739348371,-8,0,0.102045260336495
"256",21.9548872180451,-8,0,0.10140908461668
"257",22.0802005012531,-8,0,0.10077235788997
"258",22.2055137844612,-8,0,0.100140361496193
"259",22.3308270676692,-8,0.00114994321547999,0.0995178894666289
